FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),_AbsError_Length (cm),_SelectionMode
fish01,67.49,252,12.6,20.0,20.0,22.005101625193134,15.384097596373964,40.4,272.6772847933257,66.1085533953549,3609,8987,465.4217836303522,262.7039583128188,800.3057419431709,20.80835491677989,1.1967467084132437,within
fish01,67.49,350,17.5,20.0,20.0,20.25248291168218,12.657801819801362,60.4,215.01706484641636,58.37367053117375,4925,16403,469.1632114149306,262.6023274692854,830.2655388842161,20.80835491677989,0.5558720050977115,within
fish01,67.49,639,31.95,20.0,20.0,19.42131992473147,13.566012412363207,60.0,230.64087978763743,58.20940721425221,5074,24065,461.8072219231499,247.4013313640912,810.6885532872411,20.80835491677989,1.3870349920484202,within
fish01,67.49,1098,54.9,20.0,20.0,22.01915944436228,8.944583846168713,0.6666666666666666,153.26128175957524,53.49341241666356,2789,122,472.7356419026692,269.65468705902094,798.1703289616901,20.80835491677989,1.2108045275823898,within
fish01,67.49,1507,75.35,20.0,20.0,21.164386987488,10.487367100023844,12.933333333333334,183.8642396662874,55.8439891998853,4100,6169,469.22332834832446,268.3595540363629,819.5828823846873,20.80835491677989,0.3560320707081104,within
fish01,67.49,1529,76.45,20.0,20.0,19.4240536371888,12.306524969031445,13.733333333333333,201.97193780811529,55.36956814397787,4413,3599,464.5615697455511,269.47976236969623,822.3013321152473,20.80835491677989,1.3843012795910923,within
fish01,67.49,1907,95.35,20.0,20.0,21.664087338987883,10.443262215236784,11.466666666666669,177.20894956389833,54.94284433474054,3162,8860,464.239517556254,265.7734731622376,793.2529907184917,20.80835491677989,0.8557324222079927,within
fish01,67.49,2226,111.3,20.0,20.0,21.397040774739395,8.628933657284913,54.8,133.21956769055743,49.75390091597394,2580,15212,461.5853151107788,269.04597640478346,782.2312915155622,20.80835491677989,0.5886858579595042,within
fish01,67.49,2750,137.5,20.0,20.0,20.990851217839577,4.6668735643709605,12.666666666666666,73.13234736442926,46.12170643279324,1554,4831,467.9671916164633,266.6451333869827,765.6923250034461,20.80835491677989,0.18249630105968606,within
fish01,67.49,2905,145.25,20.0,20.0,21.395314375894063,5.148099813941157,5.733333333333333,82.5180128934395,46.3106172457298,1897,1308,471.6038189377775,268.0111262559255,777.5549451937029,20.80835491677989,0.5869594591141727,within
fish01,67.49,3003,150.15,20.0,20.0,20.19589803524211,7.678934406958275,11.333333333333334,101.53583617747438,46.11236387297039,1909,5946,465.85216518145904,269.11629229625066,773.1484574777097,20.80835491677989,0.6124568815377813,within
fish01,67.49,3596,179.8,20.0,20.0,22.005101625193134,15.189362183761634,4.8,258.0773606370876,64.83178986893503,2319,1218,463.4187628579034,269.80016252199806,779.5989253799015,20.80835491677989,1.1967467084132437,within
fish01,67.49,3799,189.95,20.0,20.0,20.661208581171483,8.772911160988492,5.333333333333333,131.34243458475538,49.67540603990221,2119,479,457.80983444545416,264.3230208046806,764.5128552501347,20.80835491677989,0.14714633560840795,within
fish01,67.49,4517,225.85,20.0,20.0,19.35459059793345,7.852531090851669,16.4,107.98255593477435,44.83695227600346,1669,16123,463.5978463755668,268.5303938784175,765.5082402539844,20.80835491677989,1.4537643188464422,within
fish01,67.49,4898,244.9,20.0,20.0,22.199837037805462,17.72092254772191,8.0,307.75502464922255,68.23796471578437,5670,1638,473.4820341552736,272.4774511374473,859.3594852927208,20.80835491677989,1.3914821210255717,within
fish10,17.7,453,22.65,20.0,20.0,20.95304427169741,14.447462337109092,1.3333333333333333,249.05195297686765,58.97288251968873,5572,620,412.60721222873264,246.8635709474245,770.9107831761571,20.44814786044034,0.5048964112570715,within
fish10,17.7,8497,424.85,20.0,20.0,20.05774749906985,8.76309356755479,0.5333333333333333,138.39590443686004,50.28156879876831,1285,85,426.7317474702623,245.95223943578935,698.3839869060517,20.44814786044034,0.3904003613704887,within
fish10,17.7,9859,492.95,20.0,20.0,19.469268349805,8.199631601557705,47.2,127.68297307546452,47.62559875015978,2180,3480,427.2675997467984,250.07519510481092,720.9427948516093,20.44814786044034,0.9788795106353412,within
fish11,13.0,446,22.3,20.0,20.0,26.00544706392929,7.92879349698797,31.466666666666665,169.90898748577928,58.31257621310687,1351,191,414.6430633408534,250.22510697656213,691.8881703174155,26.712832980685764,0.7073859167564756,within
fish11,13.0,1156,57.8,20.0,20.0,25.705074464827383,24.34192657654108,8.4,495.6769055745164,85.04175818940938,3621,3135,436.5835934217665,246.9037825412326,755.907375962999,26.712832980685764,1.0077585158583808,within
fish11,13.0,1759,87.95,20.0,20.0,27.72623882729848,9.096631001617927,2.933333333333333,202.2373909745923,64.29052364702135,2860,522,433.3773948018393,252.160292821206,742.7376876230453,26.712832980685764,1.0134058466127165,within
fish11,13.0,2044,102.2,20.0,20.0,27.10849112618073,14.425090466357778,33.46666666666667,248.97610921501703,67.63287552405738,1750,559,439.8996864149305,246.50496418888312,721.4046506038136,26.712832980685764,0.39565814549496636,within
fish11,13.0,2521,126.05,20.0,20.0,26.43722208943107,22.694536478364395,1.4666666666666666,476.0523321956768,83.4304596420936,5044,199,434.8380711757329,248.7653938724836,784.4834650482165,26.712832980685764,0.2756108912546935,within
fish11,13.0,3594,179.7,20.0,20.0,26.80642481392592,3.0976160139369093,1.7333333333333334,71.99469093667045,56.60460738580417,1542,243,434.6166991336773,256.46571940077683,721.9224185344542,26.712832980685764,0.09359183324015419,within
fish11,13.0,5918,295.9,20.0,20.0,28.17241635745316,15.792286923364848,3.0666666666666664,289.26810769814176,70.39430268606164,5108,1734,426.5615455792274,249.3280045204056,778.0495500996329,26.712832980685764,1.4595833767673945,within
fish11,13.0,6152,307.6,20.0,20.0,28.04189347332216,25.510333109361884,1.2,502.38907849829343,88.27556234440247,9500,109,430.9955604552469,253.3112921467993,874.3068526020462,26.712832980685764,1.329060492636394,within
fish12,15.28,3057,152.85,20.0,20.0,17.87669810067746,13.062685434717489,16.8,188.452787258248,52.22575368951128,2684,2378,410.804252405162,253.2186262883504,717.7028786935123,18.82326492608762,0.9465668254101622,within
fish12,15.28,3106,155.3,20.0,20.0,20.19072775298586,8.02203537748218,16.8,125.5403868031854,47.73219496457936,1886,2282,415.5197645217706,249.50451490095992,702.7442794227305,18.82326492608762,1.3674628268982403,within
fish12,15.28,3122,156.1,20.0,20.0,19.24498507124088,18.32469414390157,16.8,229.14296549108832,62.686841957111184,1132,2282,412.9751292290581,249.61807609887651,685.2332053279346,18.82326492608762,0.42172014515325884,within
fish12,15.28,3199,159.95,20.0,20.0,19.96619784601526,6.010697151296212,17.466666666666665,107.24307925673112,48.69144445157631,695,2367,417.5452688075688,253.15838866033567,684.6036574679044,18.82326492608762,1.1429329199276381,within
fish12,15.28,3225,161.25,20.0,20.0,20.08667433686558,13.281692945381634,17.466666666666665,203.39400834281375,55.27092068138479,2547,2367,415.4273738561371,251.0605956915856,717.4279695477226,18.82326492608762,1.2634094107779603,within
fish12,15.28,3294,164.7,20.0,20.0,18.996451980324316,12.8596894562015,17.733333333333334,193.49639742131205,53.366522589031234,2773,2640,418.0369126790176,259.3288248377376,732.8257375167552,18.82326492608762,0.17318705423669556,within
fish12,15.28,3345,167.25,20.0,20.0,18.02488314442405,5.260903338494818,17.733333333333334,72.20326128175957,40.22233370882567,595,2648,422.3025211112128,259.45076496377527,693.653286074988,18.82326492608762,0.7983817816635721,within
fish12,15.28,3402,170.1,20.0,20.0,20.12104185673671,6.174578384544731,17.6,87.23928706863859,45.57729878619492,952,2508,431.00783279741074,258.5646126157019,708.6124454131126,18.82326492608762,1.2977769306490892,within
fish12,15.28,3459,172.95,20.0,20.0,20.279473865058403,6.703624544988696,2.2666666666666666,95.08911642017442,46.42177977673816,1010,453,424.7772172783557,257.5939320719401,702.5711493502959,18.82326492608762,1.4562089389707822,within
fish12,15.28,3481,174.05,20.0,20.0,17.32363241344132,15.573199184182933,2.2666666666666666,176.98141827834658,54.93507428636595,1030,436,412.2722912199045,256.5250810775651,689.3973722974696,18.82326492608762,1.4996325126463006,within
fish12,15.28,3549,177.45,20.0,20.0,19.88190590239221,3.57957546301672,33.46666666666667,62.0401971937808,44.41552118108335,626,1323,415.2220429875693,254.5657974962764,682.3078404838457,18.82326492608762,1.0586409763045879,within
fish12,15.28,3599,179.95,20.0,20.0,19.564520400383323,3.5257807561390715,33.46666666666667,59.78384527872581,43.44358834542654,636,762,420.3142960599922,253.3704719754432,686.4047680354354,18.82326492608762,0.741255474295702,within
