FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),Width_truth (cm),Area_truth (cm²),Perimeter_truth (cm),_AbsError_Length (cm),_PerFishScale,_PerFishScale_Width,_PerFishScale_Perimeter,_PerFishScale_Area,_CompositeRelError,_SelectionMode
fish01,67.49,341,17.05,20.0,20.0,21.29802397539054,3.396576149043429,40.05607633459684,45.67167071507597,45.147061037140276,4465,17051,459.0721524787056,264.2938053367509,812.6659578154564,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.489669058610648,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.039009883321984344,within
fish01,67.49,342,17.1,20.0,20.0,21.19943317646825,3.436907542248278,40.05607633459684,46.08233442092765,45.00225480172655,4483,17100,458.9935587565105,264.30204752425084,812.9556062807613,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.39107825968835996,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.03210971213912589,within
fish01,67.49,343,17.15,20.0,20.0,21.193944534522544,3.4307989888099244,40.05607633459684,46.25833315200694,45.11302009196983,4462,17086,458.9687757520133,264.29610351383417,812.5048792658474,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.385589617742653,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.03214714324821878,within
fish01,67.49,344,17.2,20.0,20.0,21.193944534522544,3.4307989888099244,40.05607633459684,46.35890385548083,45.256494784054226,4562,17174,458.6087670807262,264.30385090966746,814.1526179903937,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.385589617742653,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.03242268864404531,within
fish01,67.49,345,17.25,20.0,20.0,21.134515181152242,3.4197792819038497,40.05607633459684,46.337951625590435,45.12478512405801,4622,17317,458.73777311422094,264.3047818992508,815.4825550134717,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.32616026437235135,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.03182088338865182,within
fish01,67.49,346,17.3,20.0,20.0,20.659307206272413,3.6222571124589877,40.05607633459684,47.57413318912356,45.00142258044163,4692,17494,458.73241720149673,264.3053938784175,816.8778110799143,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.14904771050747812,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.013334113459542267,within
fish01,67.49,347,17.35,20.0,20.0,21.19055353780783,3.67583007392905,40.05607633459684,48.53793576408158,45.28468863769297,4751,17397,458.6900431315104,264.30591471175086,818.0159578432613,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.3821986210279391,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.019227933563577534,within
fish01,67.49,348,17.4,20.0,20.0,20.466229568830617,3.6222571124589877,40.05607633459684,47.00004209012681,45.00043859600471,4699,17327,458.4556985609079,264.3103092430008,816.7460078039087,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.3421253479492741,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.014137235082407926,within
fish01,67.49,349,17.45,20.0,20.0,20.6712125214107,3.6767558674873024,40.05607633459684,47.19280260511842,45.15627221485379,4625,17305,458.2487845105585,264.12846679508414,814.8772513056426,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.13714239536919237,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.008364276402162607,within
fish01,67.49,351,17.55,20.0,20.0,20.393337870118973,3.5638055989268245,59.88581709429825,46.59775927623129,44.87855580122241,4892,16403,468.33994752604167,262.9444693963688,829.1244169224104,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.41501704666091754,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.02040348540977282,within
fish01,67.49,647,32.35,20.0,20.0,20.380816813613727,3.370849969652751,58.431636105253475,47.77108415009324,45.02844459156819,4312,23803,465.6159373606741,238.4882941648695,790.3442315255436,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.4275381031661638,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.034842052133128354,within
fish01,67.49,648,32.4,20.0,20.0,20.383966227591163,3.3698794841013635,58.431636105253475,47.94289243519444,45.24355200983787,4316,23783,472.7410111730317,239.38723947736955,798.4482506504013,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.42438868918872785,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.03699346686957393,within
fish01,67.49,649,32.45,20.0,20.0,20.368095420204398,3.367093035485968,58.431636105253475,47.43584847184696,44.95726497376869,4255,23777,472.515733350947,239.64719390445288,797.2629272553999,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.4402594965754929,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.03306943323583303,within
fish01,67.49,650,32.5,20.0,20.0,20.466229568830617,3.2260727407837853,58.431636105253475,46.48461723482316,44.924513774042126,4231,23746,472.4155554029674,239.62391916486948,796.6594745678369,20.80835491677989,3.7047248508619215,47.14461247637051,44.34499613098476,0.3421253479492741,0.9914870379850703,0.29313476243064474,0.7767257954665941,0.22481552035599275,0.04317748601877198,within
