FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),_AbsError_Length (cm),_PerFishScale,_SelectionMode
fish01,67.49,26,1.3,20.0,20.0,20.03475542301876,15.455382754900185,12.672441112923343,265.50085857531604,63.21819763604945,3470,9883,455.9229891483824,266.85992835892563,792.1829175073079,20.80835491677989,0.7735994937611324,0.9798279211023203,within
fish01,67.49,252,12.6,20.0,20.0,21.56121297905828,15.073768365890304,39.58504801253374,261.7873052568817,64.77500644045233,3609,8987,465.4217836303522,262.7039583128188,800.3057419431709,20.80835491677989,0.7528580622783885,0.9798279211023203,within
fish01,67.49,267,13.35,20.0,20.0,20.98879139554346,16.218611532919947,13.978878341059769,278.6621284244729,65.08594034925916,3373,10018,461.9777211543141,266.389410785834,795.8271319401481,20.80835491677989,0.18043647876356772,0.9798279211023203,within
fish01,67.49,337,16.85,20.0,20.0,21.400992408422237,12.073481287988978,39.58504801253374,207.4674861284111,57.85106416192451,4661,16806,459.23379308441525,264.28887044142624,816.7426635258415,20.80835491677989,0.5926374916423462,0.9798279211023203,within
fish01,67.49,350,17.5,20.0,20.0,19.843948228513817,12.402467642821135,59.18160643458015,206.42987564237805,57.196152243671754,4925,16403,469.1632114149306,262.6023274692854,830.2655388842161,20.80835491677989,0.9644066882660738,0.9798279211023203,within
fish01,67.49,360,18.0,20.0,20.0,19.78185786245528,13.116096332865034,59.18160643458015,201.4420638323241,55.90128330426002,4906,16834,464.9569783039611,260.4424772088687,823.5194555128297,20.80835491677989,1.0264970543246115,0.9798279211023203,within
fish01,67.49,1064,53.2,20.0,20.0,22.073954907529124,6.083325159587105,3.5273805159683533,116.88591106699378,50.926561353962704,2104,749,467.9949561387805,272.553401593007,782.6283577317876,20.80835491677989,1.2655999907492337,0.9798279211023203,within
fish01,67.49,1098,54.9,20.0,20.0,21.574987222790014,8.764152995116888,0.6532186140682135,147.14044839659095,52.4143390808885,2789,122,472.7356419026692,269.65468705902094,798.1703289616901,20.80835491677989,0.7666323060101234,0.9798279211023203,within
fish01,67.49,1329,66.45,20.0,20.0,19.462333839503938,16.218611532919947,14.109522063873413,268.6683011116276,63.39878733180231,4208,4716,448.49510415754895,269.83240885348846,802.4875130110373,20.80835491677989,1.346021077275953,0.9798279211023203,within
fish01,67.49,1458,72.9,20.0,20.0,22.146402887638743,9.329389757247437,8.230554537259492,172.9350810055195,56.38286643348105,3837,5202,465.6491390187959,269.8486555691931,812.237794587989,20.80835491677989,1.3380479708588524,0.9798279211023203,within
