FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),_AbsError_Length (cm),_SelectionMode
fish01,67.49,26,1.3,20.0,20.0,20.44721832429451,15.773568421598622,12.933333333333334,276.5453166477057,64.51969399374543,3470,9883,455.9229891483824,266.85992835892563,792.1829175073079,20.80835491677989,0.36113659248538,within
fish01,67.49,256,12.8,20.0,20.0,21.42089538735615,15.773568421598622,14.266666666666666,282.4990519529768,66.41172052830203,3501,9282,463.29764722101663,266.4930956816673,799.8107429026838,20.80835491677989,0.6125404705762598,within
fish01,67.49,260,13.0,20.0,20.0,21.42089538735615,16.357774659435606,14.266666666666666,286.74630261660974,66.12826500359976,3535,9575,462.15154920335937,266.52385740041734,799.3754066037768,20.80835491677989,0.6125404705762598,within
fish01,67.49,280,14.0,20.0,20.0,21.42089538735615,14.994626771149306,14.266666666666666,272.77208949563897,65.02567728747167,3389,10400,455.291466880968,266.6676790150007,789.7391458959687,20.80835491677989,0.6125404705762598,within
fish01,67.49,346,17.3,20.0,20.0,20.836689149519167,12.463066407189034,40.4,215.2635570724308,58.43478808672509,4692,17494,458.73241720149673,264.3053938784175,816.8778110799143,20.80835491677989,0.028334232739275933,within
fish01,67.49,350,17.5,20.0,20.0,20.25248291168218,12.657801819801362,60.4,215.01706484641636,58.37367053117375,4925,16403,469.1632114149306,262.6023274692854,830.2655388842161,20.80835491677989,0.5558720050977115,within
fish01,67.49,360,18.0,20.0,20.0,20.18911426835072,13.386122246964794,60.4,209.82176715965107,57.05214364719295,4906,16834,464.9569783039611,260.4424772088687,823.5194555128297,20.80835491677989,0.6192406484291695,within
fish01,67.49,653,32.65,20.0,20.0,21.697884344954872,10.728716767173465,24.133333333333333,205.29010238907847,58.37801422291142,4171,23678,471.83422724217553,242.7991014565362,798.0533286987117,20.80835491677989,0.8895294281749813,within
fish01,67.49,1329,66.45,20.0,20.0,19.863012086457523,16.552510072047937,14.4,279.84452028820624,64.70400155618935,4208,4716,448.49510415754895,269.83240885348846,802.4875130110373,20.80835491677989,0.9453428303223674,within
fish01,67.49,1503,75.15,20.0,20.0,21.32215042482828,9.862929231952108,12.533333333333331,176.0144103147516,55.300363525978256,3971,6381,469.67155754257016,268.3607259113629,817.4522834539331,20.80835491677989,0.5137955080483891,within
