FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_Truth_Length (cm),_AbsError_Length (cm),_SelectionMode
fish01,67.49,256,12.8,20.0,20.0,21.42089538735615,15.773568421598622,14.266666666666666,282.4990519529768,66.41172052830203,3501,9282,463.29764722101663,266.4930956816673,799.8107429026838,20.80835491677989,0.6125404705762598,within
fish01,67.49,350,17.5,20.0,20.0,20.25248291168218,12.657801819801362,60.4,215.01706484641636,58.37367053117375,4925,16403,469.1632114149306,262.6023274692854,830.2655388842161,20.80835491677989,0.5558720050977115,within
fish01,67.49,644,32.2,20.0,20.0,19.95742025188597,12.03910846217324,60.0,214.069017823284,58.11406532444826,4647,24013,461.6405941537174,247.21179685969872,801.7923910134161,20.80835491677989,0.85093466489392,within
fish01,67.49,1048,52.4,20.0,20.0,21.628067705936022,7.873865933725152,7.733333333333333,134.31930223739096,51.92693744472558,2127,1456,462.4560020661343,267.86891926875643,772.8649213348907,20.80835491677989,0.8197127891561315,within
fish01,67.49,1329,66.45,20.0,20.0,19.863012086457523,16.552510072047937,14.4,279.84452028820624,64.70400155618935,4208,4716,448.49510415754895,269.83240885348846,802.4875130110373,20.80835491677989,0.9453428303223674,within
fish01,67.49,1507,75.35,20.0,20.0,21.164386987488,10.487367100023844,12.933333333333334,183.8642396662874,55.8439891998853,4100,6169,469.22332834832446,268.3595540363629,819.5828823846873,20.80835491677989,0.3560320707081104,within
fish01,67.49,1907,95.35,20.0,20.0,21.664087338987883,10.443262215236784,11.466666666666669,177.20894956389833,54.94284433474054,3162,8860,464.239517556254,265.7734731622376,793.2529907184917,20.80835491677989,0.8557324222079927,within
fish01,67.49,1987,99.35,20.0,20.0,19.99954913799464,12.5266385932415,17.866666666666667,204.11452408039435,57.18608418260955,3697,8917,453.3932584544805,264.87163406842546,792.204892522906,20.80835491677989,0.8088057787852492,within
fish01,67.49,2226,111.3,20.0,20.0,21.397040774739395,8.628933657284913,54.8,133.21956769055743,49.75390091597394,2580,15212,461.5853151107788,269.04597640478346,782.2312915155622,20.80835491677989,0.5886858579595042,within
fish01,67.49,2905,145.25,20.0,20.0,21.395314375894063,5.148099813941157,5.733333333333333,82.5180128934395,46.3106172457298,1897,1308,471.6038189377775,268.0111262559255,777.5549451937029,20.80835491677989,0.5869594591141727,within
