FishID,Weight (g),FrameIndex,Timestamp (s),FPS_Top,FPS_Front,Length (cm),Width (cm),Height (cm),Area (cm²),Perimeter (cm),TopMaskPixels,FrontMaskPixels,BlurTop,BlurFront,Score,_SelectionMode
fish1+3+4+5,238.0,136,6.8,20.0,20.0,97.6545024572037,41.13179420412297,28.933333333333334,2402.559726962457,230.74726649260515,9933,390,427.4927784544203,241.17259438950225,867.3253728439225,available
fish1+3+4+5,238.0,164,8.2,20.0,20.0,99.08279590191871,42.18968743942977,1.7333333333333334,2479.3325748957145,233.0483962999699,9662,249,428.04548570956,243.0018219502342,864.2873076597942,available
fish1+3+4+5,238.0,371,18.55,20.0,20.0,98.8837935207317,44.97549791905431,29.2,2693.8756162305644,235.5666020978621,11238,457,416.07023323499897,239.9708137969547,880.8010470319537,available
fish1+3+4+5,238.0,580,29.0,20.0,20.0,98.51073091310415,43.17730346459719,46.4,2544.4065225635186,235.11299309946352,11229,11853,428.22345022648943,235.1314420564334,887.9348922829229,available
fish1+3+4+5,238.0,615,30.75,20.0,20.0,98.38680459598976,40.367353115403816,42.13333333333333,2316.2305650360254,232.178785235163,9477,4474,429.96049044308137,239.7934732911745,859.2939637342558,available
fish1+3+4+5,238.0,871,43.55,20.0,20.0,101.7221893366142,33.6519944068347,29.6,1985.2863102009856,226.5834401274956,6438,579,437.758792908393,240.59971020989943,807.1185031182924,available
fish1+3+4+5,238.0,1016,50.8,20.0,20.0,99.34695572524082,39.72322211764629,30.0,2249.943117178612,230.46580217192823,8007,525,440.2120456570095,238.20134759178163,838.5533932487912,available
fish1+3+4+5,238.0,1212,60.6,20.0,20.0,102.4705966074858,54.00185096767622,32.266666666666666,3326.7538869927944,253.81575366371737,10920,3440,434.6564395372179,241.1721842439334,894.2286237811513,available
fish1+3+4+5,238.0,1363,68.15,20.0,20.0,83.42473277449531,69.98612919120302,29.2,3440.728100113765,255.9128676664625,10867,1358,446.9969430301618,246.923111935764,911.260054965926,available
fish1+3+4+5,238.0,1383,69.15,20.0,20.0,102.60572520282209,44.24107715311383,29.33333333333333,2584.81228668942,239.55322493149063,9203,1285,445.6850376993627,248.14822583845992,877.8932635378226,available
fish1+3+4+5,238.0,1580,79.0,20.0,20.0,102.5691885415446,32.97495188823223,29.466666666666665,1905.5555555555552,227.9970489445321,9177,1007,428.685966945149,245.09457679201768,857.3205437371666,available
fish1+3+4+5,238.0,1789,89.45,20.0,20.0,102.1741552057546,35.038649250827426,29.73333333333333,2048.369359120212,227.77336631199483,7090,1439,446.7557452738444,249.27203771141905,837.8277829852634,available
fish1+3+4+5,238.0,1898,94.9,20.0,20.0,99.34695572524082,37.871405299053386,29.73333333333333,2102.919984831248,228.94271875668292,8012,887,457.3118821396816,244.2311489717165,861.7830311113983,available
fish1+3+4+5,238.0,2016,100.8,20.0,20.0,98.15438555143852,35.34589773104483,30.8,1988.7182404247249,226.78517506042644,7544,1966,451.6190927393595,247.72514646825792,850.2242392076174,available
fish1+3+4+5,238.0,2270,113.5,20.0,20.0,99.95304949129591,32.502584204165736,1.7333333333333334,1938.490709139173,225.36488919249857,5783,202,443.7262227620443,245.3767902268728,804.763012988917,available
fish1+3+4+5,238.0,2312,115.6,20.0,20.0,99.38478198565578,33.10990814082663,1.8666666666666667,1925.4266211604088,224.51586663177852,4911,136,448.0618355414308,244.8086522947524,791.0904878361832,available
fish1+3+4+5,238.0,2526,126.3,20.0,20.0,94.30308389873174,67.21850681369945,31.2,4683.333333333332,274.15384291100065,38949,1143,428.2968777230534,250.1107161424001,1457.3875938654537,available
fish1+3+4+5,238.0,2617,130.85,20.0,20.0,107.48214525561356,37.18861604143736,35.333333333333336,3436.442927569207,257.0178015095929,20447,43684,420.97733802624,239.1538897632917,1069.0712277895318,available
fish1+3+4+5,238.0,2820,141.0,20.0,20.0,94.57425628879218,47.54924362622835,2.8,2709.916571861964,235.62494522312625,9805,531,437.77209148220487,244.97792642922929,878.8500179114342,available
fish1+3+4+5,238.0,2948,147.4,20.0,20.0,98.85906530869924,34.33484903583558,30.53333333333333,2007.1482745544176,224.96986757991505,6741,2115,448.7248380262398,249.60376623915568,833.1486042653955,available
fish1+3+4+5,238.0,3120,156.0,20.0,20.0,88.66720286817598,54.97401260317999,30.266666666666666,2656.029579067121,244.0846197829024,8604,3553,451.525987932822,247.0835839546097,870.6895718874318,available
fish1+3+4+5,238.0,3265,163.25,20.0,20.0,90.17511865963722,49.08323665739121,30.266666666666666,2573.7959802806213,232.4592300779503,8815,1674,450.8884894801763,248.10915036085973,875.297639841036,available
fish1+3+4+5,238.0,3550,177.5,20.0,20.0,110.91710250106952,69.35042218781128,28.4,5182.859309821766,301.533942994807,20893,185,451.2930675182765,248.40733717176656,1117.560404690043,available
fish1+3+4+5,238.0,3647,182.35,20.0,20.0,104.37818116020816,69.91001312782599,32.8,5390.993553280242,294.60474503818847,78337,4397,459.3804384041492,253.9885839609676,2280.1090223651167,available
fish1+3+4+5,238.0,3785,189.25,20.0,20.0,94.92748759539776,70.0936294621608,32.4,5539.230185817216,286.7161450303893,39043,12289,425.7646867464794,236.96319660847985,1443.587883354959,available
fish1+3+4+5,238.0,4011,200.55,20.0,20.0,103.2468758597158,43.77090238186636,38.93333333333333,3370.0417140690174,242.62326083708825,58871,14579,431.4374458652072,240.9930338499281,1849.850479715136,available
fish1+3+4+5,238.0,4061,203.05,20.0,20.0,106.42280790698692,70.18539900078261,60.66666666666666,6460.940462646946,319.58600375855383,64452,59619,615.9321612220295,239.8203092286745,2144.792470450704,available
fish1+3+4+5,238.0,4182,209.1,20.0,20.0,99.12032501967528,66.79424652602873,60.8,4870.648464163822,285.9746525709643,34710,4275,446.7149160260048,239.15393879123263,1380.0688548172377,available
fish1+3+4+5,238.0,4419,220.95,20.0,20.0,112.36230930590096,69.91000124211965,30.666666666666668,6775.900644671975,328.853517672666,78920,480,427.4184260992356,239.71783839412265,2245.5362644933584,available
fish1+3+4+5,238.0,4519,225.95,20.0,20.0,99.50979584489994,69.91001312782599,35.86666666666667,6321.008722032611,305.14395303925386,37093,18012,421.99358471069337,234.4682193944189,1398.3218041051125,available
fish1+3+4+5,238.0,4785,239.25,20.0,20.0,102.43182543341712,59.02151161037844,30.133333333333333,3554.474781949184,258.1304818850421,11089,841,442.9394259617935,243.75521807750067,908.4746440392942,available
fish1+3+4+5,238.0,4841,242.05,20.0,20.0,100.08810677239416,59.783623100655696,29.866666666666667,3647.93325748957,257.09203812244124,13022,933,450.484209751082,245.17490884585908,956.099118596941,available
fish1+3+4+5,238.0,4960,248.0,20.0,20.0,100.30902639606516,57.93689336437469,29.866666666666667,3645.8665149791423,255.91946423347912,12586,2200,449.8689843025866,245.7672330542246,947.3562173568112,available
fish1+3+4+5,238.0,5246,262.3,20.0,20.0,84.4778598415613,68.29426426562956,32.0,3392.681076981418,253.8700696238178,8310,622,438.38156524505615,245.2648014144791,849.8463666595353,available
fish1+3+4+5,238.0,5387,269.35,20.0,20.0,79.84151917105476,69.91001312782599,37.73333333333333,4485.381114903298,260.7016502742971,87833,8048,406.58340412499706,247.584231706365,2410.8276358313624,available
fish1+3+4+5,238.0,5404,270.2,20.0,20.0,82.37306764930868,69.91000124211965,27.066666666666663,4547.591960561244,263.8645834909765,85363,28286,438.6297387708688,255.4776041662853,2401.367342937154,available
fish1+3+4+5,238.0,5579,278.95,20.0,20.0,103.02291349522277,46.90952519694813,29.066666666666663,3456.029579067121,255.616243916639,16369,272,445.9632110520351,236.9263378140661,1010.2695488661012,available
fish1+3+4+5,238.0,5777,288.85,20.0,20.0,93.79029292741583,37.76756582564716,31.466666666666665,3222.6583238528624,244.9964126391397,24248,774,436.75385306343736,245.32104165293373,1167.0348947163711,available
fish1+3+4+5,238.0,6002,300.1,20.0,20.0,83.73622742330132,69.91001312782599,60.53333333333333,4438.225255972696,260.36827413298323,74464,3408,459.08002926967305,241.9552603901757,2190.3152896598485,available
fish1+3+4+5,238.0,6086,304.3,20.0,20.0,101.2624145584109,69.91001312782599,60.53333333333333,6626.469472885854,318.5939810613337,102560,33540,665.1231485182017,250.76230453995595,2967.0854530581573,available
